City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Goderich,CA,43.7501,-81.7165,44.6,65,20,9.22,few clouds
306,Saint-Augustin,CA,51.226,-58.6502,36.16,99,100,18.7,overcast clouds
307,Tirano,IT,46.2154,10.1679,46.0,52,20,3.42,few clouds
308,Sinnai,IT,39.3042,9.2036,55.99,100,20,5.75,few clouds
309,Manali,IN,13.1667,80.2667,82.4,83,40,3.44,mist
310,Eyl,SO,7.9803,49.8164,79.72,76,15,5.64,few clouds
311,Kloulklubed,PW,7.0419,134.2556,77.0,94,75,4.81,broken clouds
312,Tianpeng,CN,30.9866,103.9393,57.0,1,100,3.8,overcast clouds
313,Lata,PT,40.1629,-8.3327,54.0,69,0,1.01,clear sky
314,Denpasar,ID,-8.65,115.2167,77.0,100,20,2.3,few clouds
315,Lapao,BR,-11.3833,-41.8319,79.03,37,4,10.42,clear sky
316,Chapais,CA,49.7834,-74.8492,41.0,52,90,6.91,overcast clouds
317,Kanniyakumari,IN,8.0833,77.5667,79.27,79,6,17.4,clear sky
318,Sevlievo,BG,43.0258,25.1136,39.0,93,100,3.2,overcast clouds
319,Ixtapa,MX,20.7,-105.2,80.6,78,1,13.8,clear sky
320,Sur,OM,22.5667,59.5289,83.62,44,1,7.07,clear sky
321,Naze,JP,28.3667,129.4833,64.4,82,75,11.5,broken clouds
322,Garowe,SO,8.4054,48.4845,75.69,73,30,11.12,scattered clouds
323,Saint George,US,37.1041,-113.5841,88.0,9,1,4.61,clear sky
324,Ukiah,US,39.1502,-123.2078,68.0,42,1,5.88,clear sky
325,Luena,AO,-11.7833,19.9167,66.4,79,78,1.39,broken clouds
326,Camacha,PT,33.0833,-16.3333,60.8,72,20,3.2,few clouds
327,Arauca,CO,7.0847,-70.7591,93.18,38,100,2.53,light rain
328,Khudumelapye,BW,-23.8833,24.75,69.35,44,0,7.78,clear sky
329,Chisec,GT,15.8167,-90.2833,59.0,94,75,4.45,broken clouds
330,Jijiga,ET,9.35,42.8,69.57,47,71,3.36,broken clouds
331,Moron,AR,-34.6534,-58.6198,73.0,69,0,1.99,clear sky
332,Haines Junction,CA,60.7522,-137.5108,41.0,42,100,9.22,overcast clouds
333,Almaznyy,RU,48.0448,40.045,37.4,93,75,8.95,light rain
334,Bujoreni,RO,45.1333,24.35,36.43,98,100,2.37,overcast clouds
335,Mount Isa,AU,-20.7333,139.5,71.6,73,75,3.44,broken clouds
336,Hervey Bay,AU,-25.2986,152.8535,73.0,98,100,5.99,overcast clouds
337,Tura,IN,25.5198,90.2201,68.16,44,53,2.06,broken clouds
338,Tuatapere,NZ,-46.1333,167.6833,54.0,83,97,15.99,overcast clouds
339,Leh,IN,34.1667,77.5833,34.88,87,100,6.87,light snow
340,Pacific Grove,US,36.6177,-121.9166,60.01,58,1,12.66,clear sky
341,Caravelas,BR,-17.7125,-39.2481,77.25,76,54,7.72,broken clouds
342,Chernyshevskiy,RU,63.0128,112.4714,-27.92,100,58,3.56,broken clouds
343,Necochea,AR,-38.5473,-58.7368,73.0,57,11,5.99,few clouds
344,Belem De Sao Francisco,BR,-8.7539,-38.9658,84.61,51,35,21.45,scattered clouds
345,Sitka,US,57.0531,-135.33,39.2,93,90,11.5,light rain
346,Gaoua,BF,10.2992,-3.2508,92.48,16,29,4.88,scattered clouds
347,Katangli,RU,51.7102,143.2326,19.71,70,4,8.95,clear sky
348,Kyren,RU,51.6828,102.1408,32.45,93,99,2.13,overcast clouds
